Tox2
Pdcd1
Epha3
Pkdcc
Enpp6
Esm1
Maf
Ccl3
Havcr2
Penk
Tmprss13
Prr5l
Gzmk
Faxc
Arnt2
Rnf165
Phactr3
Clgn
Perp
Ociad2
Rgs16
Coch
Chst2
Car5b
Zbtb32
Nr4a2
Pard3b
Ica1
Plod2
Lmo1
Rtkn
Bcl2a1d
Map6
Slc24a2
Ppp2r2c
Ret
Dpysl5
Ccl4
Adgrg1
Alcam
Klrg1
Il10
Dscam
Serpina12
Itgad
Slco2a1
Clip3
Cables1
Serpina9
Tnfsf4
Phactr2
Lag3
Fbxo41
Ltk
Rab39b
Tex13c2
B4galt4
Ttbk1
Jdp2
Plscr1
Gcnt1
Insrr
Atcay
Tjp2
Zfand4
Ifng
Nap1l3
Rasd2
Rnf152
Rasgef1a
Pdgfb
Nsun7
Ryk
Cpne7
Gas7
2900011O08Rik
Adrb1
Cd80
Sema6d
Ttn
Adap1
Slco4c1
Atp2b2
Map2
Hip1
Ttc39c
Ccl5
Pcyt1b
Atp6v1g3
Rbm47
Ifi211
Dthd1
Cacna1s
Ttc16
Dusp14
Heatr9
Ildr1
Glp1r
Osbpl3
Trpc1
Cxcl10
Cd19
Itga7
Selenom
Stk32c
Il18
Ccr5
Ncald
Gng3
Plscr4
Dst
Irak1bp1
Bhlhe40
Kcnk5
Ifitm7
Il21
Klrb1f
Nrn1
Slc15a3
Tnip3
Blnk
Hlf
Dlg2
Ryr3
Ctnnbip1
Ptpn13
Foxb1
E2f8
Asb2
Gas2l1
Wwc1
Cx3cr1
1500009L16Rik
Cyp17a1
Tbc1d4
Wipf3
Tox
Cbfa2t3
Tm4sf5
Rbm11
Fam171b
Cr2
Ctla2a
Pex11a
Rgs1
Mpp2
Ankrd29
Irf4
Gpm6b
Plxdc1
Spin4
Trim7
Tnfsf13b
Cdc42ep4
Cdkn3
Itgb8
Nectin1
Ncapg
Rasgef1b
Dagla
Cacna1d
Rnf128
Smim3
1700001O22Rik
Reep2
Rnf216
Pon3
Bmp7
Zdhhc2
Gprasp2
Prss2
Mzb1
Kif14
Spock2
Itga4
Serpina3g
Ryr1
Stac2
Clec2l
Kif2c
Cdc25c
Plek
Tmem51
Serp2
Tspoap1
Cd200r1
Tigit
Cd79a
Ptpn3
Samd11
Sh3d19
Trps1
Cxcr5
S100a4
Myom2
Fcrl1
Dnase1l3
Cers6
Tshz2
S100a6
