TfhvsTconUP
Gcnt1
Hmmr
Neil3
B4galnt4
Clspn
Abhd4
Ryr1
Melk
Cdc6
Cenph
Hk2
Bub1
Mcm10
2610318N02Rik
Cpe
Padi4
Klrc1
Esco2
Foxm1
Jdp2
Hap1
H2-DMb2
Cep55
Rap1gap2
Tgfbi
Spdl1
Ccdc28b
Gm17586
Trip13
Il17f
Tnfsf11
Pbk
Abcc3
Dnase1l3
Pou2af1
Epdr1
Alcam
Ptpn5
Lgalsl
Parpbp
Plek
Tmem176a
Adam23
Spi1
Pxdc1
Mrgpre
Gm13704
Naprt1
Tnfsf14
Tiam1
Setbp1
A930002I21Rik
Rtn1
Wnt10a
Ptpn3
Depdc1a
Txlnb
Mtmr7
Syne3
Ffar2
Aif1
Ticrr
Fam20a
Pdzk1ip1
Exo1
Uevld
Myo1e
Gzmb
Itgae
Plcl1
Pdcd1lg2
2010007H06Rik
Emp1
Sirpb1c
Cdca8
Gm14005
Naip2
Fgd2
Il4i1
Ankle1
Ifitm1
Bcl2a1a
Plxdc1
Chtf18
Troap
Nuf2
Acot7
Tcrg-C1
C030034L19Rik
Il22
Mfsd2a
Atp1a3
Stxbp1
Ms4a6d
Pdgfb
Tuft1
Rgs16
Ccdc109b
AA386476
Blk
Ska1
Olfm1
Lyz1
Cenpn
Ptpro
Xkr6
Klra4
Hist1h3c
4930503L19Rik
Cd83
Adam12
Zbtb42
Klhl4
4632434I11Rik
Gpt2
Cdkn1a
Asns
Wfdc17
Tbc1d9
Rapsn
Mmp14
Ncf2
Glycam1
Apol7c
Ptrh1
Klrb1c
Cd38
Kctd17
Hes1
Ncr1
Ppfibp1
Ska3
Ggh
BC035044
Repin1
Ercc6l
Aurkb
Prr11
Fhl2
Kcnq5
Slc9a7
Soat2
2810417H13Rik
Pbx1
Il1b
Tnp2
Arnt2
Derl3
Ascl2
Ifitm2
Klra8
Cd300a
Sytl3
BC030867
Zfp316
Cyp27a1
Mmp25
Fbxl19
Lrr1
Lamc1
Ccr4
Eqtn
Lgr4
Metrnl
4930430F08Rik
Gm26798
Casz1
1600002H07Rik
Plekha8
Thnsl1
6330403K07Rik
Zfp704
Six5
Cit
Mtfr2
Ppp1r13l
H2-Q2
Anxa4
Atrnl1
Sec16b
Cd244
Gas2l1
Ptafr
Gm9885
Mtus2
Klri2
Orc1
Sema7a
Vipr2
Igfbp7
Prr5l
Tspan17
Fkbpl
Mpp2
2410018L13Rik
Rasgef1b
Lrrc20
Akap6
Slc15a3
Ctla2b
Ear2
Nek2
Scamp1
Myadm
Stom
Hfe
Chrm4
Cd24a
Zbtb32
Il4
Deptor
Slc43a3
St14
Gm11674
Ern1
Havcr2
Ufsp1
Zfp41
Itgb8
Ildr1
Sptb
Cd79b
Srxn1
Xylb
Dpep2
Klk1b9
Zbtbd6
Zfp385a
Penk
Hoxa7
Rapgef5
Cacna1g
H2-Eb2
Bcl2l15
Nek4
Dhrs3
Gm684
Gm12305
Rbm4
Ube2e2
Hist1h3d
Arhgap33
Batf3
Fam83d
E2f8
Hist1h2ai
Plekhf1
Oaf
5830411N06Rik
Crat
Stil
Kdelc1
Pcyt1b
C1qc
Mical2
1110019D14Rik
Ccdc102a
Ctnnd2
Zc2hc1a
Il17re
Anxa3
Etv5
Rab31
Klrb1b
C1qtnf4
Lekr1
Tdrd7
2810025M15Rik
Clec4a3
Tubb6
Dlg5
AF251705
Atp6v1g3
Zfp459
Actg2
Cebpd
Abcd2
Clec4a2
Fam89a
Kif2c
Kdelc2
Cnih2
Aunip
Dsn1
Tnfrsf19
Map3k8
Gpr55
Prnp
Cst6
Serpinb1a
Morn2
Rnf208
Prdm5
Tubg2
Dmwd
Traip
E230016M11Rik
Ttc30a1
Rbks
Trav10d
Cttn
St6galnac1
Cd209b
Hist1h3i
Hebp1
Stard9
Cd33
Maats1
Emr4
St6galnac3
Ttc8
Pon3
Ifng
Klre1
Trip10
Rpusd2
Dusp16
5730409E04Rik
Amigo1
Pip5k1b
4933406C10Rik
A430010J10Rik
Eid2
Mfsd9
Zfp473
Zfp563
Fut7
Hist1h1b
Fam72a
2-Sep
Dab2ip
Il21
Mcm8
Adamtsl2
Hes5
Dtl
Aplp1
Map6
Mybl1
Stau2
Slfn4
3110070M22Rik
Fabp4
Srgap3
Spc24
C430042M11Rik
Hspa2
2210408F21Rik
Klra9
Xcr1
Gpr179
Gm14455
Spag5
Lacc1
Extl1
Cebpa
B430212C06Rik
Cenpf
Gpr141
Sema6c
Zfand4
Tnfrsf8
Chaf1a
Gm26965
Nr4a2
Gfra2
Cd8a
Rin2
Wwc1
Pif1
Dab2_1
Spint1
Hmox1
Zfp248
Otub2
Ebi3
Ell2
Mthfsd
Tlr2
Naip5
Ltb4r1
Marco
Trav13-4-dv7
Mcf2l
Popdc2
Cadm3
Cela1
Areg
Smpdl3b
2700099C18Rik
Il13ra1
Cpd
Bag2
Upk1a
Zeb2
Trav9-4
Kcnk1
Slco4a1
